,Temperature °C,,
,Maximum,Average,Minimum
year,Maximum,Average,Minimum
1895,24.365,19.61583333,14.865
1896,25.26916667,20.65666667,16.03583333
1897,25.33833333,20.80583333,16.2775
1898,24.42583333,19.99166667,15.55916667
1899,24.90333333,20.0875,15.2775
1900,24.67583333,20.315,15.93166667
1901,24.7275,19.49833333,14.26
1902,25.43916667,20.565,15.68583333
1903,24.695,19.47166667,14.25583333
1904,25.52833333,20.16166667,14.805
1905,24.89833333,20.16166667,15.41166667
1906,25.18666667,20.2175,15.24
1907,25.82416667,20.9025,15.97166667
1908,25.90666667,20.7875,15.65666667
1909,25.98583333,20.78666667,15.57916667
1910,25.435,20.22666667,15.01833333
1911,26.42666667,21.63333333,16.8475
1912,24.60166667,19.8625,15.11583333
1913,24.86,20.2175,15.58
1914,24.77833333,19.945,15.11
1915,25.34333333,20.26666667,15.19583333
1916,25.685,20.4825,15.25833333
1917,24.95833333,19.7125,14.4575
1918,25.42083333,20.565,15.69833333
1919,25.07916667,20.61166667,16.13916667
1920,24.545,20.005,15.46333333
1921,26.53166667,21.51833333,16.48083333
1922,25.65166667,21.265,16.86166667
1923,24.98083333,20.37833333,15.7725
1924,25.07333333,20.0975,15.135
1925,25.59666667,20.71,15.8425
1926,24.925,20.23333333,15.53166667
1927,26.30166667,21.54083333,16.78166667
1928,24.78666667,19.9675,15.14916667
1929,24.96666667,20.37916667,15.81083333
1930,24.875,20.09833333,15.30416667
1931,25.28333333,20.35583333,15.44416667
1932,25.26416667,20.59833333,15.9275
1933,26.17583333,21.5,16.795
1934,25.1725,20.3975,15.625
1935,25.42166667,20.56083333,15.685
1936,25.0775,20.2275,15.3475
1937,24.87916667,20.23166667,15.58
1938,25.43583333,20.5475,15.64416667
1939,25.50833333,20.5975,15.69
1940,23.9625,19.23583333,14.4925
1941,24.9725,20.33666667,15.69
1942,24.45833333,19.65333333,14.8375
1943,25.19083333,19.9825,14.7725
1944,25.49166667,20.56416667,15.6425
1945,25.50833333,20.62,15.72833333
1946,25.47666667,20.73583333,15.995
1947,24.9775,20.125,15.2675
1948,25.475,20.50083333,15.51416667
1949,25.8425,21.07833333,16.31916667
1950,25.68916667,20.61,15.53333333
1951,25.82,20.55166667,15.2775
1952,25.42916667,20.16666667,14.89333333
1953,25.66166667,20.65833333,15.66666667
1954,25.95833333,20.63833333,15.315
1955,25.70833333,20.63,15.5525
1956,25.5825,20.44333333,15.295
1957,25.445,20.83416667,16.22333333
1958,24.185,19.44083333,14.69583333
1959,24.61166667,19.99083333,15.33833333
1960,24.77916667,19.75833333,14.73083333
1961,24.66583333,19.77333333,14.87083333
1962,25.55416667,20.38916667,15.20416667
1963,25.06416667,19.8425,14.61083333
1964,24.81416667,20.00833333,15.19
1965,25.21833333,20.41083333,15.60166667
1966,24.23666667,19.63416667,15.03666667
1967,25.15666667,20.0325,14.9025
1968,24.44916667,19.32,14.18166667
1969,24.805,19.8475,14.87416667
1970,24.575,19.7375,14.89416667
1971,25.43583333,20.495,15.5325
1972,25.61583333,20.675,15.73
1973,24.99416667,20.2825,15.56666667
1974,25.56416667,20.7,15.825
1975,25.01083333,20.27833333,15.53833333
1976,24.5,19.18916667,13.88
1977,24.86,19.99083333,15.10583333
1978,24.52833333,19.685,14.84
1979,24.31083333,19.45916667,14.61666667
1980,25.16666667,20.12333333,15.06583333
1981,25.23166667,20.17166667,15.1075
1982,25.51916667,20.70833333,15.88416667
1983,24.03166667,19.33,14.6475
1984,24.98666667,20.22166667,15.435
1985,25.03333333,20.435,15.84333333
1986,25.55916667,20.85583333,16.15333333
1987,24.925,20.03333333,15.14
1988,24.82083333,20.00916667,15.185
1989,24.885,20.19166667,15.485
1990,26.16333333,21.20416667,16.23583333
1991,25.10666667,20.78166667,16.4475
1992,24.62416667,20.12,15.61916667
1993,24.66666667,20.01916667,15.3525
1994,25.03083333,20.44333333,15.865
1995,25.4075,20.62833333,15.8375
1996,25.11083333,20.19916667,15.29083333
1997,24.89833333,20.325,15.75
1998,26.0075,21.44083333,16.865
1999,26.3425,21.19,16.01833333
2000,26.1025,20.93916667,15.76333333
2001,25.495,20.66166667,15.825
2002,25.135,20.58916667,16.04166667
2003,25.14833333,20.37416667,15.59916667
2004,25.5325,20.8975,16.25083333
2005,25.82416667,20.99,16.12583333
2006,26.285,21.25416667,16.23666667
2007,25.5975,20.93083333,16.2775
2008,25.43583333,20.61583333,15.7975
2009,25.62583333,20.92166667,16.2225
2010,24.93,20.07833333,15.20916667
2011,26.0475,20.97666667,15.9175
2012,26.38,21.515,16.64833333
2013,24.91166667,20.34583333,15.78166667
2014,24.7775,19.94,15.11083333
2015,26.175,21.66833333,17.1575
2016,26.12916667,21.70083333,17.27666667
2017,26.04666667,21.67166667,17.2725
2018,25.94416667,21.46916667,17.00416667
2019,25.95416667,21.44833333,16.94416667
2020,26.22166667,21.75083333,17.27833333
2021,25.44,21.09166667,16.74916667
