,Temperature °C
,Average
year,Average
1895,19.61583333
1896,20.65666667
1897,20.80583333
1898,19.99166667
1899,20.0875
1900,20.315
1901,19.49833333
1902,20.565
1903,19.47166667
1904,20.16166667
1905,20.16166667
1906,20.2175
1907,20.9025
1908,20.7875
1909,20.78666667
1910,20.22666667
1911,21.63333333
1912,19.8625
1913,20.2175
1914,19.945
1915,20.26666667
1916,20.4825
1917,19.7125
1918,20.565
1919,20.61166667
1920,20.005
1921,21.51833333
1922,21.265
1923,20.37833333
1924,20.0975
1925,20.71
1926,20.23333333
1927,21.54083333
1928,19.9675
1929,20.37916667
1930,20.09833333
1931,20.35583333
1932,20.59833333
1933,21.5
1934,20.3975
1935,20.56083333
1936,20.2275
1937,20.23166667
1938,20.5475
1939,20.5975
1940,19.23583333
1941,20.33666667
1942,19.65333333
1943,19.9825
1944,20.56416667
1945,20.62
1946,20.73583333
1947,20.125
1948,20.50083333
1949,21.07833333
1950,20.61
1951,20.55166667
1952,20.16666667
1953,20.65833333
1954,20.63833333
1955,20.63
1956,20.44333333
1957,20.83416667
1958,19.44083333
1959,19.99083333
1960,19.75833333
1961,19.77333333
1962,20.38916667
1963,19.8425
1964,20.00833333
1965,20.41083333
1966,19.63416667
1967,20.0325
1968,19.32
1969,19.8475
1970,19.7375
1971,20.495
1972,20.675
1973,20.2825
1974,20.7
1975,20.27833333
1976,19.18916667
1977,19.99083333
1978,19.685
1979,19.45916667
1980,20.12333333
1981,20.17166667
1982,20.70833333
1983,19.33
1984,20.22166667
1985,20.435
1986,20.85583333
1987,20.03333333
1988,20.00916667
1989,20.19166667
1990,21.20416667
1991,20.78166667
1992,20.12
1993,20.01916667
1994,20.44333333
1995,20.62833333
1996,20.19916667
1997,20.325
1998,21.44083333
1999,21.19
2000,20.93916667
2001,20.66166667
2002,20.58916667
2003,20.37416667
2004,20.8975
2005,20.99
2006,21.25416667
2007,20.93083333
2008,20.61583333
2009,20.92166667
2010,20.07833333
2011,20.97666667
2012,21.515
2013,20.34583333
2014,19.94
2015,21.66833333
2016,21.70083333
2017,21.67166667
2018,21.46916667
2019,21.44833333
2020,21.75083333
2021,21.09166667
