,% Small Businesses ,Lafourche Parish,Plaquemines Parish,St. Charles Parish
,% Small Businesses ,% Small Businesses ,% Small Businesses ,% Small Businesses 
,Jefferson Parish ,Lafourche Parish,Plaquemines Parish,St. Charles Parish
1978,77.2444797,84.35951875,77.30263158,72.95454545
1979,77.08827569,82.78008299,75.85669782,72.72727273
1980,76.91936845,83.18821165,73.4375,70.36290323
1981,77.35782822,83.17460317,73.9195231,70.84942085
1982,76.96921684,83.0797322,73.63896848,70.52238806
1983,78.19482664,82.67766497,74.60770328,69.92753623
1984,78.27259004,83.94018205,76.15606936,72.32924694
1985,78.12734887,82.88227334,74.1301059,71.17750439
1986,77.85329018,83.36783989,73.71695179,71.12676056
1987,77.89682978,83.20950966,74.42244224,70.84078712
1988,78.0750444,83.3959429,75.57003257,71.37870855
1989,78.06968719,83.25757576,75.74750831,68.68512111
1990,77.76423665,83.08931186,75.07886435,66.25659051
1991,77.79716467,81.85131195,75.63291139,65.89018303
1992,77.61811452,81.4380044,74.38825449,65.06410256
1993,77.8501281,81.61083393,74.11575563,65.62009419
1994,77.71022259,81.25,73.69255151,65.4853621
1995,77.22121028,80.86158192,72.87066246,65.25547445
1996,77.29196051,80.21052632,72.9468599,64.33666191
1997,76.89071421,80.5651275,71.98067633,63.4696756
1998,76.65136699,79.69374168,72.68588771,64.00560224
1999,76.60128102,79.45205479,72.01257862,63.22147651
2000,76.62534019,79.63565387,71.29186603,64.03743316
2001,76.72361196,79.21492921,72.75641026,64.82939633
2002,77.11985324,78.61715749,72.06349206,66.96658098
2003,76.9534813,78.125,71.81102362,66.15581098
2004,77.24562999,77.39858339,71.63232964,65.91478697
2005,77.37114974,77.28747567,71.2,65.46583851
2006,76.50933041,76.66666667,68.61313869,64.25
2007,78.00167049,75.42003734,70.82630691,64.73429952
2008,77.38719832,74.84624846,68.57638889,65.70743405
2009,77.25285272,75.26348419,70.1188455,63.11166876
2010,77.19127807,74.98448169,68.93039049,62.69230769
2011,77.05292964,74.79206654,67.82178218,63.26002587
2012,76.90949227,74.41709845,69.37086093,64.58598726
2013,76.56525573,74.30600387,68.46543002,63.95348837
2014,76.2962963,74.55853499,67.60797342,63.42710997
2015,75.8087667,74.57969065,67.16666667,63.56687898
2016,75.73658751,73.91304348,67.9245283,63.15136476
2017,75.74721518,73.83112352,69.27175844,62.54728878
2018,75.97114317,74.41696113,70.609319,62.38993711
2019,75.70571238,73.67288379,69.5970696,62.19974716
2020,75.5794234,72.95141407,68.80907372,61.74934726
