,Jefferson Parish,Lafourche Parish,Plaquemines Parish,St. Charles Parish
,Unemployment Rate,Unemployment Rate,Unemployment Rate,Unemployment Rate
Area_name,Jefferson,Lafourche,Plaquemines,St. Charles
1990,5.6,4.1,6.2,6.1
1991,6.7,4.7,7,7.3
1992,8.2,6.2,10.7,10.1
1993,8,5.9,9.8,10.8
1994,7.6,5.6,9.8,9
1995,6.6,4.6,8.1,7.7
1996,5.8,3.9,6.2,7.3
1997,5,3,5.4,5.4
1998,4.5,3,5.4,5.1
1999,4.2,3.6,5.7,5.2
2000,4.5,4.4,5.7,5.4
2001,4.7,4.4,5.5,5.3
2002,5,4.6,6.1,5.5
2003,5.1,4.8,5.9,5.5
2004,4.7,4.8,5.3,5.1
2005,,6,,
2006,,3,,
2007,3.6,2.9,3.9,3.8
2008,4.5,3.5,4.7,4.7
2009,6.3,4.6,6.5,6.5
2010,7.4,6.1,6.1,7.4
2011,7.2,6.1,6.3,7.2
2012,6.7,5.3,6,6.6
2013,6.3,4.9,5.7,6.3
2014,6,4.8,5.7,6.1
2015,5.7,5.3,5.5,5.7
2016,5.3,6.3,5.4,5.3
2017,4.5,5.2,4.7,4.5
2018,4.3,4.6,4.6,4.3
2019,4,4.3,4.2,4.1
2020,9.7,6.9,7.5,8.2
2021,6,4.6,4.3,5
