oilsp,Number of oil spill reports to USCG National Response Center from the four parishes of the Barataria Basin each year from 1990 to 2018 (Source: USCG National Response Center).
nav,Nuisance aquatic vegetation (thousands of acres) in waterways within Barataria Basin from 2006 to 2019 (Source: USGS Nonindigenous Aquatic Species 2019).
rdrum,"The average catch per unit effort (CPUE) for red drum using gill, seine, and trammel nets within Barataria Basin from 1985 to 2022 (Source: LDWF Fisheries Independent data CSA 3)."
blcrab,Commercial fishery catch and revenue for blue crabs in Barataria Basin from 2000 to 2018 (Source: LA Trip Ticket Area 0200).
brpeli,"Number of Brown Pelican nests on Queen Bess Island, LA, from 1971 to 2010 (Source: LDWF, Selman et al. 2016)."
oystercat,Commercial fishery catch and revenue for oysters in Barataria Basin from 2000 to 2018 (Source: LA Trip Ticket Area 0200).
persmbusi,Small businesses as defined by an average number of employees between 1 and 19 from 1978 to 2020 (Source: US Census Bureau 2020 Economic Surveys County Business Pattern).
vesfish,Number of registered seafood dealers reporting catch and commercial vessels reporting catch from within Barataria Basin from 2003 to 2016 (Source: LA Trip Ticket Area 0200).
unemploy,Parish unemployment rate from 1990 to 2021 (Source: U.S. Bureau of Labor Statistics).
precip,Annual precipitation (inches) for southeast Louisiana from 1985 to 2023 (Source: National Climate Data Center LA Region 9).
airtemps,"Annual minimum, average, and maximum air temperatures from 1985 to 2021 (degrees Fahrenheit) for southeast Louisiana (Source: National Climate Data Center LA Region 9)."
